"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2021","71","78","109","40"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","4","4","0"
"Department of Veterans Affairs","Agency Overall","2023","2427","79590","72403","9614"
"Consumer Financial Protection Bureau","Agency Overall","2020","218","330","411","137"
"Federal Housing Finance Agency","Agency Overall","2016","22","179","182","19"
"Office of National Drug Control Policy","Agency Overall","2015","7","43","47","3"
"U.S. Agency for Global Media","Agency Overall","2015","10","45","48","7"
"U.S. Department of State","Agency Overall","2015","10924","24837","14002","21759"
"U.S. Agency for Global Media","Agency Overall","2018","6","60","59","7"
"Occupational Safety and Health Review Commission","Agency Overall","2022","1","94","92","3"
"Office of the National Cyber Director","Agency Overall","2024","0","378","155","223"
"National Endowment for the Arts","Agency Overall","2019","0","58","57","1"
"Department of Homeland Security","Agency Overall","2023","104434","674856","580205","199085"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","57","57","0"
"U.S. Commission on Civil Rights","Agency Overall","2017","1","32","33","0"
"Department of Health and Human Services","Agency Overall","2024","13249","51800","49271","15778"
"Office of Management and Budget","Agency Overall","2023","610","315","362","563"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","5","45","47","3"
"Denali Commission","Agency Overall","2016","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2016","321","377","354","344"
"National Capital Planning Commission","Agency Overall","2017","0","12","12","0"
"Department of Veterans Affairs","Agency Overall","2015","2442","29716","30436","1722"
"Office of Science and Technology Policy","Agency Overall","2022","131","104","65","170"
"National Mediation Board","Agency Overall","2019","0","11","11","0"
"Tennessee Valley Authority","Agency Overall","2020","16","259","239","36"
"General Services Administration","Agency Overall","2017","125","1352","1181","296"
"U.S. Agency for International Development","Agency Overall","2019","285","290","304","271"
"U.S. Election Assistance Commission","Agency Overall","2019","6","30","17","19"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2024","1","73","56","18"
"Surface Transportation Board","Agency Overall","2024","13","89","99","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2015","2","37","36","3"
"Harry S. Truman Scholarship Foundation","Agency Overall","2021","0","1","1","0"
"Inter-American Foundation","Agency Overall","2017","0","12","11","1"
"Consumer Financial Protection Bureau","Agency Overall","2018","23","788","642","169"
"Federal Financial Institutions Examination Council","Agency Overall","2020","0","11","11","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2020","0","2","2","0"
"Consumer Product Safety Commission","Agency Overall","2020","558","460","506","512"
"Department of Energy","Agency Overall","2024","1380","4283","3250","2413"
"Tennessee Valley Authority","Agency Overall","2015","16","198","195","19"
"United States Trade and Development Agency","Agency Overall","2022","45","21","16","50"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","89","70","20"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2021","5","47","46","6"
"Consumer Financial Protection Bureau","Agency Overall","2024","65","964","834","195"
"National Science Foundation","Agency Overall","2017","231","325","278","278"
"Department of Agriculture","Agency Overall","2018","5559","36547","35482","6624"
"Defense Nuclear Facilities Safety Board","Agency Overall","2017","0","31","26","5"
"Nuclear Regulatory Commission","Agency Overall","2020","91","289","288","92"
"Department of Education","Agency Overall","2017","507","2915","2574","848"
"Millennium Challenge Corporation","Agency Overall","2017","1","39","38","2"
"Court Services and Offender Supervision Agency","Agency Overall","2018","93","437","517","13"
"National Aeronautics and Space Administration","Agency Overall","2022","68","993","982","79"
"United States International Trade Commission","Agency Overall","2019","0","31","28","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2017","15","38","25","28"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","290","279","11"
"Advisory Council on Historic Preservation","Agency Overall","2021","1","21","16","6"
"U.S. Department of State","Agency Overall","2017","27852","7688","21736","13804"
"Social Security Administration","Agency Overall","2023","637","10130","10305","462"
"Federal Mediation and Conciliation Service","Agency Overall","2022","1","56","53","4"
"Social Security Administration","Agency Overall","2019","524","14987","15148","363"
"U.S. Election Assistance Commission","Agency Overall","2023","211","50","91","170"
"General Services Administration","Agency Overall","2018","296","1324","1239","381"
"Office of Personnel Management","Agency Overall","2023","153","581","586","148"
"Marine Mammal Commission","Agency Overall","2022","6","9","10","5"
"Appraisal Subcommittee","Agency Overall","2022","0","16","16","0"
"Federal Mediation and Conciliation Service","Agency Overall","2018","26","58","57","27"
"Department of Labor","Agency Overall","2019","1989","16090","16350","1729"
"Inter-American Foundation","Agency Overall","2020","2","8","10","0"
"United States International Boundary and Water Commission","Agency Overall","2020","15","53","40","28"
"Federal Labor Relations Authority","Agency Overall","2024","46","158","204","0"
"Department of the Treasury","Agency Overall","2017","1653","12434","12379","1708"
"Occupational Safety and Health Review Commission","Agency Overall","2016","0","69","67","2"
"Social Security Administration","Agency Overall","2015","2504","23208","22922","2790"
"National Indian Gaming Commission","Agency Overall","2023","3","55","45","13"
